MOCS ID,Fiscal Year,Source,Council Member,Legal Name of Organization,EIN,Status,amount,Agency,Program Name,Address,Address 2 (optional),City,State,Postcode,Purpose of Funds,Fiscal Conduit Name,FC EIN,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
FY16 3054,2016,Local,Rosenthal,New York City Housing Authority,136400434,Cleared,2000,NYCHA,Harborview,,,,,,Funds to support Tenant Association events,,,,,,,,,,,
FY16 3055,2016,Local,Rosenthal,New York City Housing Authority,136400434,Cleared,1000,NYCHA,Sandra Thomas Apartments,,,,,,Funds to support Tenant Association events,,,,,,,,,,,
FY16 3056,2016,Local,Rosenthal,New York City Housing Authority,136400434,Cleared,1000,NYCHA,Wise Rehab,,,,,,Funds to support Tenant Association events,,,,,,,,,,,
FY16 3057,2016,Local,Rosenthal,New York City Housing Authority,136400434,Cleared,2000,NYCHA,Wise Towers,,,,,,Funds to support Tenant Association events,,,,,,,,,,,
FY16 3058,2016,Local,Rosenthal,New York City Housing Authority,136400434,Cleared,2000,NYCHA,WSURA Brownstones,,,,,,Funds to support Tenant Association events,,,,,,,,,,,
FY16 3059,2016,Local,Rosenthal,New York City Housing Authority,136400434,Cleared,1000,NYCHA,WSURA Site A,,,,,,Funds to support Tenant Association events,,,,,,,,,,,
FY16 3060,2016,Local,Rosenthal,New York City Housing Authority,136400434,Cleared,1000,NYCHA,WSURA Site B,,,,,,Funds to support Tenant Association events,,,,,,,,,,,
FY16 3061,2016,Local,Rosenthal,New York City Housing Authority,136400434,Cleared,1000,NYCHA,WSURA Site C,,,,,,Funds to support Tenant Association events,,,,,,,,,,,
FY16 3062,2016,Local,Richards,New York City Housing Authority,136400434,Cleared,1000,NYCHA,,,,,,,"To support ""Family Day"" and other Tenant Association activities.",,,,,,,,,,,
FY16 3063,2016,Local,Richards,New York City Housing Authority,136400434,Cleared,1000,NYCHA,,,,,,,"To support ""Family Day"" and other Tenant Association activities.",,,,,,,,,,,
FY16 3064,2016,Local,Richards,New York City Housing Authority,136400434,Cleared,1000,NYCHA,,,,,,,"To support ""Family Day"" and other Tenant Association activities.",,,,,,,,,,,
FY16 3065,2016,Local,Richards,New York City Housing Authority,136400434,Cleared,1000,NYCHA,,,,,,,"To support ""Family Day"" and other Tenant Association activities.",,,,,,,,,,,
FY16 1234,2016,Youth,Vallone,"DAC Athletic Club, Inc.",116080807,Cleared,5000,DYCD,,PO BOX 235,,Bayside,New YorkNY,11361,"Funding will be used to help pay for space rental, and yearly Field Day event which is open to the public.",,,,,,,,,,,
FY16 3066,2016,Local,Richards,New York City Housing Authority,136400434,Cleared,1000,NYCHA,,,,,,,"To support ""Family Day"" and other Tenant Association activities.",,,,,,,,,,,
FY16 3067,2016,Local,Richards,New York City Housing Authority,136400434,Cleared,1000,NYCHA,,,,,,,"To support ""Family Day"" and other Tenant Association activities.",,,,,,,,,,,
